DATASET,SERIES_CODE,OBS_MEASURE,COUNTRY,INDICATOR,FREQUENCY,SCALE,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,OVERLAP,COUNTRY_UPDATE_DATE,DOI,FULL_DESCRIPTION,AUTHOR,PUBLISHER,DEPARTMENT,CONTACT_POINT,TOPIC,TOPIC_DATASET,KEYWORDS,KEYWORDS_DATASET,LANGUAGE,PUBLICATION_DATE,UPDATE_DATE,METHODOLOGY,METHODOLOGY_NOTES,ACCESS_SHARING_LEVEL,ACCESS_SHARING_NOTES,SECURITY_CLASSIFICATION,SHORT_SOURCE_CITATION,FULL_SOURCE_CITATION,LICENSE,SUGGESTED_CITATION,KEY_INDICATOR,SERIES_NAME,LATEST_ACTUAL_ANNUAL_DATA,HISTORICAL_DATA_SOURCE,BASE_YEAR,START_END_MONTHS_OF_REPORTING_YEAR,CHAIN_WEIGHTED,BASIS_OF_PROJECTIONS,VALUATION,PRICES_SECTOR_HARMONIZED_PRICES,LABOR_SECTOR_EMPLOYMENT_TYPE,FISCAL_SECTOR_GENERAL_GOVERNMENT_COMPOSITION,FISCAL_SECTOR_VALUATION_OF_DEBT,FISCAL_SECTOR_INSTRUMENTS_INCLUDED_IN_GROSS_AND_NET_DEBT,TRADE_SECTOR_OIL_COVERAGE,PRIMARY_DOMESTIC_CURRENCY,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
IMF.RES:WEO(9.0.0),GHA.BCA.A,OBS_VALUE,Ghana,"Current account balance (credit less debit), US dollar",Annual,Billions,Three,,Current account balance,,,,,,,,,,,,,,US dollar,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Balance of payments; Current account,Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,"Balance of Payments Manual, fifth edition (BPM5)",Official Reserves include foreign assets held by Ghana Petroleum and Stabilization Fund and exclude encumbered assets. Data prior to 2005 excludes exceptional financing. Manual used: Migration not complete.,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",TRUE,"Current account balance (credit less debit), US dollar",2023,Central Bank,,,,,,,,,,,,Ghanaian cedi,-0.054,-0.508,-0.19,-0.155,-0.073,-0.152,-0.084,-0.096,-0.071,-0.078,-0.162,-0.244,-0.367,-0.55,-0.254,-0.144,-0.307,-0.405,-0.522,-0.965,-0.386,-0.427,-0.105,0.102,-0.59,-1.105,-1.04,-2.156,-3.406,-1.398,-2.77,-3.541,-4.911,-5.704,-3.694,-2.824,-2.841,-2.002,-2.043,-1.526,-1.774,-2.157,-1.701,-1.289,0.924,2.025,1.899,0.975,0.389,0.431,-0.103
IMF.RES:WEO(9.0.0),GHA.PCPIE.A,OBS_VALUE,Ghana,"All Items, Consumer price index (CPI), End-of-period (EoP)",Annual,Units,Three,,,,,,,,,,,Consumer price index (CPI),,,,,Index,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Consumer prices,Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,,,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",TRUE,"All Items, Consumer price index (CPI), End-of-period (EoP)",2024,National Statistics Office,2012,,,,,No,,,,,,Ghanaian cedi,0.076,0.153,0.178,0.432,0.458,0.547,0.73,0.979,1.239,1.616,2.197,2.422,2.745,3.504,4.702,8.032,10.13,12.373,14.322,16.297,22.904,27.78,31.994,39.533,44.189,50.745,56.288,63.464,74.973,82.064,87.701,95.042,102.764,116.632,136.445,160.584,185.253,207.152,226.676,244.575,270.189,304.289,469.038,577.805,715.529,801.237,865.336,934.563,1009.328,1090.074,1177.28
IMF.RES:WEO(9.0.0),GHA.PPPPC.A,OBS_VALUE,Ghana,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",Annual,Units,Three,,,Gross domestic product (GDP),,,,,,,,,,,,,,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Gross domestic product (GDP),Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,,,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",TRUE,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",,,,,,,,,,,,,,,958.843,982.179,928.893,878.387,970.069,1042.462,1104.686,1180.079,1269.837,1345.522,1409.625,1488.888,1551.877,1623.872,1675.947,1741.904,1815.416,1907.85,1977.267,2045.507,2113.299,2184.635,2258.066,2355.886,2483.314,2650.324,2816.783,2934.346,3178.45,3296.435,3509.591,3984.872,4295.697,4573.612,4674.315,4707.868,4802.365,5170.964,5536.496,6002.551,6047.302,6607.504,7207.889,7562.626,8038.82,8410.294,8812.69,9240.49,9691.254,10180.362,10709.71
IMF.RES:WEO(9.0.0),GHA.NID_NGDP.A,OBS_VALUE,Ghana,"Gross capital formation, Percent of GDP",Annual,Units,Three,,,Gross capital formation,,,,,,,,,,,,,Percent,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Gross domestic product (GDP),Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,System of National Accounts (SNA) 2008,,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",,"Gross capital formation, Percent of GDP",2023,National Statistics Office,2013,January/December,No,,,,,,,,,Ghanaian cedi,,,,4.238,6.496,9.585,9.311,12.987,13.794,15.029,27.843,24.385,23.066,23.129,23.18,22.055,20.568,23.55,22.81,6.934,32.184,32.826,26.946,30.309,38.654,39.845,36.187,34.605,37.737,36.036,45.718,23.201,31.185,24.772,27.165,27.71,25.456,19.566,21.709,18.647,18.224,17.037,15.522,9.9,9.957,10.522,12.578,13.62,14.582,15.64,17.134
IMF.RES:WEO(9.0.0),GHA.GGX.A,OBS_VALUE,Ghana,"Expenditure, General government, Domestic currency",Annual,Billions,Three,,,,Expenditure,,,,,General government,,,,,,,Domestic currency,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Fiscal sector,Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,Government Finance Statistics Manual (GFSM) 2001,,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",TRUE,"Expenditure, General government, Domestic currency",2023,Ministry of Finance or Treasury,,January/December,,Staff estimates,Commitments Basis,,,Central Government,Face value,FACE_VALUE,,Ghanaian cedi,0.001,0.001,0.001,0.002,0.003,0.005,0.01,0.014,0.02,0.027,0.034,0.046,0.071,0.114,0.163,0.244,0.338,0.417,0.505,0.568,0.806,1.295,1.286,1.975,2.69,3.081,4.072,5.727,7.229,8.651,12.326,15.896,22.438,26.843,33.27,34.179,43.679,46.206,64.48,80.189,123.504,125.647,168.897,164.556,272.62,265.96,302.447,340.834,389.401,445.266,515.173
IMF.RES:WEO(9.0.0),GHA.NGDP_D.A,OBS_VALUE,Ghana,"Gross domestic product (GDP), Price deflator, Index",Annual,Units,Three,,,Gross domestic product (GDP),,,,,,,,Price deflator,,,,,Index,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Gross domestic product (GDP),Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),GDP,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,System of National Accounts (SNA) 2008,,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",TRUE,"Gross domestic product (GDP), Price deflator, Index",2023,National Statistics Office,2013,January/December,No,,,,,,,,,Ghanaian cedi,0.039,0.064,0.081,0.192,0.261,0.329,0.48,0.652,0.862,1.113,1.503,1.812,2.046,2.385,3.138,4.413,6.088,7.376,8.629,9.85,12.521,16.832,20.672,26.541,30.253,34.8,38.971,45.049,52.697,59.906,69.17,76.152,87.659,100,123.94,140.365,162.471,179.819,198.823,215.685,235.886,264.442,338.931,474.92,595.396,685.854,741.05,799.142,862.573,930.986,1004.003
IMF.RES:WEO(9.0.0),GHA.NGDP_FY.A,OBS_VALUE,Ghana,"Gross domestic product (GDP), Current prices, Fiscal year, Domestic currency",Annual,Billions,Three,,,Gross domestic product (GDP),,,,,,,,,Current prices,,,,Domestic currency,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Gross domestic product (GDP),Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),Nominal GDP,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,System of National Accounts (SNA) 2008,,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",TRUE,"Gross domestic product (GDP), Current prices, Fiscal year, Domestic currency",2023,National Statistics Office,2013,January/December,No,,,,,,,,,Ghanaian cedi,0.011,0.017,0.02,0.044,0.065,0.087,0.135,0.195,0.274,0.37,0.518,0.654,0.772,0.943,1.284,1.882,2.72,3.486,4.283,5.11,6.729,9.393,12.068,16.287,19.568,23.911,28.334,34.088,43.465,52.218,64.983,81.526,101.749,124.478,158.684,183.525,219.595,262.798,308.587,356.544,391.941,461.695,614.336,887.748,1176.22,1409.476,1595.9,1806.138,2046.872,2319.675,2626.687
IMF.RES:WEO(9.0.0),GHA.NGDPDPC.A,OBS_VALUE,Ghana,"Gross domestic product (GDP), Current prices, Per capita, US dollar",Annual,Units,Three,,,Gross domestic product (GDP),,,,,,,,,Current prices,,,,US dollar,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Gross domestic product (GDP),Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),Nominal GDP,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,System of National Accounts (SNA) 2008,,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",TRUE,"Gross domestic product (GDP), Current prices, Per capita, US dollar",2023,National Statistics Office,2013,January/December,No,,,,,,,,,Ghanaian cedi,3239.454,5006.386,5611.733,3786.463,1346.079,1169.016,1080.271,888.229,926.87,914.435,1031.664,1127.156,1091.486,875.974,790.464,901.888,933.683,933.36,991.413,1000.783,628.881,650.209,734.677,882.299,994.77,1176.627,1343.837,1545.724,1704.06,1493.287,1783.977,2055,2087.204,2294.796,1949.906,1722.771,1912.48,2012.288,2195.321,2186.659,2195.455,2445.187,2229.891,2383.904,2405.795,3193.071,3179.324,3227.161,3299.11,3408.629,3555.757
IMF.RES:WEO(9.0.0),GHA.NGSD_NGDP.A,OBS_VALUE,Ghana,"Gross national savings, Percent of GDP",Annual,Units,Three,,,Gross national savings,,,,,,,,,,,,,Percent,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Gross domestic product (GDP),Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,System of National Accounts (SNA) 2008,,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",,"Gross national savings, Percent of GDP",2023,National Statistics Office,2013,January/December,No,,,,,,,,,Ghanaian cedi,,,,3.924,6.089,8.635,8.87,12.333,13.765,15.155,27.351,23.404,21.317,20.022,21.62,21.675,19.038,21.355,20.2,2.192,29.395,30.772,26.804,31.685,36.785,36.192,33.296,29.278,30.079,33.05,40.063,17.024,22.847,15.664,20.327,22.893,20.749,16.848,19.198,17.389,16.737,15.299,13.681,8.548,11.434,12.79,14.687,14.833,15.264,16.348,17.42
IMF.RES:WEO(9.0.0),GHA.PPPSH.A,OBS_VALUE,Ghana,"Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP, Percent, ICP benchmarks 2017-2021",Annual,Units,Three,,,Gross domestic product (GDP),,,,,,,,,,,,,Percent,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Gross domestic product (GDP),Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,,,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",TRUE,"Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP, Percent, ICP benchmarks 2017-2021",,,,,,,,,,,,,,,0.087,0.082,0.074,0.068,0.071,0.073,0.075,0.077,0.079,0.079,0.079,0.081,0.076,0.078,0.079,0.079,0.08,0.081,0.083,0.084,0.083,0.084,0.085,0.086,0.087,0.088,0.089,0.088,0.093,0.099,0.101,0.111,0.117,0.121,0.121,0.119,0.119,0.124,0.128,0.133,0.137,0.137,0.137,0.137,0.14,0.141,0.144,0.146,0.149,0.151,0.154
IMF.RES:WEO(9.0.0),GHA.PPPEX.A,OBS_VALUE,Ghana,"Rate, Domestic currency per international dollar in PPP terms, ICP benchmarks 2017-2021",Annual,Units,Three,,,,,,,,,,,,,Rate,Domestic currency per international dollar in PPP terms,,,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Exchange rates,Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,,,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",TRUE,"Rate, Domestic currency per international dollar in PPP terms, ICP benchmarks 2017-2021",,,,,,,,,,,,,,,0.001,0.001,0.002,0.004,0.005,0.006,0.009,0.012,0.015,0.018,0.024,0.028,0.031,0.035,0.045,0.062,0.084,0.1,0.116,0.13,0.162,0.213,0.258,0.325,0.36,0.402,0.437,0.491,0.564,0.637,0.727,0.784,0.886,0.994,1.211,1.358,1.558,1.694,1.819,1.9,2.033,2.149,2.571,3.474,4.25,4.779,5.073,5.38,5.715,6.062,6.417
